EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
9.87,0.58,253.42,0.29,629.0,0.65,"
											
											
												
				12.07
			
											
										",반도체와반도체장비,2,0.39,KOSDAQ,반도체,픽셀플러스,"""087600""",,"
															7,690"
8.21,1.18,11.85,10.39,296.0,1.34,"
											
											
												
				6.00
			
											
										",소프트웨어,66,22.17,KOSDAQ,소프트웨어,포시에스,"""189690""",,"
															8,560"
25.39,0.68,32.29,2.11,269.0,1.98,"
											
											
												
				8.88
			
											
										",비철금속,10,3.74,KOSDAQ,금속,국일신동,"""060480""",,"
															2,930"
15.93,0.7,207.38,0.35,727.0,1.18,"
											
											
												
				136.13
			
											
										",제약,1,0.08,KOSDAQ,제약,비씨월드제약,"""200780""",,"
															6,560"
16.75,2.61,56.81,4.68,772.0,0.3,"
											
											
												
				99.87
			
											
										",양방향미디어와서비스,31,4.06,KOSDAQ,디지털컨텐츠,미스터블루,"""207760""",,"
															2,380"
4.46,1.08,9.21,12.56,683.0,0.93,"
											
											
												
				14.86
			
											
										",건강관리장비와용품,106,15.51,KOSDAQ,"의료,정밀기기",메디아나,"""041920""",,"
															6,100"
29.59,2.12,60.23,3.69,357.0,0.96,"
											
											
												
				15.51
			
											
										",반도체와반도체장비,16,4.57,KOSDAQ,반도체,아진엑스텍,"""059120""",,"
															10,070"
10.59,1.53,21.36,7.33,432.0,1.89,"
											
											
												
				99.80
			
											
										",소프트웨어,59,13.60,KOSDAQ,소프트웨어,케이사인,"""192250""",,"
															1,515"
5.97,1.2,34.33,3.64,878.0,2.46,"
											
											
												
				31.38
			
											
										",IT서비스,67,7.61,KOSDAQ,소프트웨어,한국정보인증,"""053300""",,"
															5,090"
8.35,3.0,18.75,17.97,441.0,1.1,"
											
											
												
				59.46
			
											
										",소프트웨어,53,11.95,KOSDAQ,소프트웨어,파수,"""150900""",,"
															8,400"
3.69,1.24,7.63,18.06,616.0,2.48,"
											
											
												
				30.56
			
											
										",통신장비,121,19.70,KOSDAQ,통신장비,파이오링크,"""170790""",,"
															13,520"
,,,,,,,미분류,,,KOSPI,미분류,한국패러랠,"""168490""",,"
															2,145"
2.82,0.93,3.87,,,,,해운사,,,KOSPI,서비스업,바다로19호,"""155900""",,"
															2,880"
,,,,,,,미분류,,,KOSPI,미분류,한국ANKOR유전,"""152550""",,"
															659"
3.44,1.27,10.41,12.92,593.0,4.69,"
											
											
												
				12.36
			
											
										",전기장비,91,15.39,KOSDAQ,금속,제룡산업,"""147830""",,"
															4,750"
10.50,0.62,5.14,12.72,908.0,1.9,"
											
											
												
				18.01
			
											
										",건설,208,22.86,KOSDAQ,종합건설,남화토건,"""091590""",,"
															8,830"
10.12,0.52,4.92,,,,,부동산,,,KOSPI,서비스업,케이탑리츠,"""145270""",,"
															1,030"
2.75,0.59,6.66,9.85,710.0,1.74,"
											
											
												
				15.37
			
											
										",디스플레이장비및부품,159,22.38,KOSDAQ,반도체,비아트론,"""141000""",,"
															8,860"
2.43,1.23,7.51,17.52,922.0,2.36,"
											
											
												
				27.05
			
											
										",상업서비스와공급품,143,15.47,KOSDAQ,사업지원,나이스디앤비,"""130580""",4.00,"
															6,680"
1.38,1.02,9.5,12.12,137.0,2.45,"
											
											
												
				11.94
			
											
										",소프트웨어,48,35.22,KOSDAQ,소프트웨어,시큐브,"""131090""",,"
															1,042"
11.10,1.16,34.03,3.44,504.0,0.6,"
											
											
												
				17.95
			
											
										",기계,22,4.32,KOSDAQ,"기계,장비",서암기계공업,"""100660""",,"
															5,880"
5.21,0.6,10.84,5.84,663.0,3.77,"
											
											
												
				44.29
			
											
										",기계,45,6.71,KOSDAQ,금속,신진에스엠,"""138070""",,"
															2,690"
2.53,0.8,11.07,7.54,442.0,2.21,"
											
											
												
				36.65
			
											
										",광고,73,16.59,KOSDAQ,전문기술,이엠넷,"""123570""",,"
															3,340"
4.44,0.6,18.76,3.31,930.0,0.87,"
											
											
												
				22.65
			
											
										",전자장비와기기,22,2.36,KOSDAQ,반도체,빛샘전자,"""072950""",,"
															5,140"
5.18,1.46,11.3,13.62,723.0,0.88,"
											
											
												
				33.82
			
											
										",생명과학도구및서비스,62,8.64,KOSDAQ,도매,대한과학,"""131220""",,"
															7,130"
